HUAXI0Z Verification Table


,,Test Exerciser - AIX: HTX

Net Name,Measured on HUAXI0Z,DC,DC Drop(mv),High Pk.,Low Pk.,AC (pk-pk),Freq. (MHz)


+1.0V,L1_1P0V_BP
,R1_B2_D4


PWR_5V_B2_D5,J_B2_D5
,R1_B2_D5


PWR_5V_B2_D6,J_B2_D6
,R1_B2_D6


PWR_BP_12VCS,J1_OP_PANEL
,J1_PANEL_BRIDGE


PWR_MXS_VDD1_EXPA,L34_EXPA
,L35_EXPA
,R214_EXPA
,R215_EXPA
,U1_EXPDR


PWR_MXS_VDD1_EXPB,L34_EXPB
,L35_EXPB
,R214_EXPB
,R215_EXPB
,U2_EXPDR


PWR_MXS_VDD2_EXPA,L36_EXPA
,R216_EXPA
,U1_EXPDR


PWR_MXS_VDD2_EXPB,L36_EXPB
,R216_EXPB
,U2_EXPDR


PWR_U1_1P0V_VIN,R20_1P0V_BP
,R21_1P0V_BP
,U1_1P0V_BP


PWR_U1_VIN_3P3V_DASD,PS1_3P3V_DASD
,R20_3P3V_DASD


PWR_U5VDVD_SENSE1,Q_DVD
,RVDVD1
,U5VDVD


U1_PVCC_1P0V_BP,U1_1P0V_BP

